country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,year,month,continent
Argentina,ARG,2021-02-05,7997902,7025492,972410,123279,17.54,15.4,2.13,2703,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,February,South America
Argentina,ARG,2021-11-04,5313612,4586426,727186,154158,11.65,10.06,1.59,3380,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,November,South America
Australia,AUS,2021-07-09,21539586,13352637,8186949,263155,83.52,51.78,31.75,10204,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,July,Oceania
Australia,AUS,2021-08-20,16815098,10711677,6103421,257582,65.2,41.54,23.67,9988,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,August,Oceania
Australia,AUS,2021-08-24,17747787,11239583,6508204,265075,68.82,43.58,25.24,10279,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,August,Oceania
Australia,AUS,2021-05-09,20985989,13061263,7924726,271464,81.38,50.65,30.73,10527,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,May,Oceania
Australia,AUS,2021-06-09,21244935,13198369,8046566,268896,82.38,51.18,31.2,10427,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,June,Oceania
Australia,AUS,2021-03-08,12808398,8634372,4174026,173519,49.67,33.48,16.19,6729,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,March,Oceania
Australia,AUS,2021-09-09,22170011,13687289,8482722,262933,85.97,53.08,32.89,10196,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,September,Oceania
Australia,AUS,2021-10-09,22473563,13841998,8631565,261686,87.15,53.68,33.47,10148,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,October,Oceania
Australia,AUS,2021-09-16,24054063,14693678,9360385,269150,93.28,56.98,36.3,10437,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,September,Oceania
Australia,AUS,2021-09-17,24392438,14862689,9529749,274125,94.59,57.63,36.95,10630,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,September,Oceania
Australia,AUS,2021-08-19,16504574,10545851,5958723,251050,64.0,40.89,23.11,9735,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,August,Oceania
Australia,AUS,2021-09-18,24619474,14986389,9633085,278586,95.47,58.11,37.35,10803,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,September,Oceania
Australia,AUS,2021-08-09,21850954,13520356,8330598,260410,84.73,52.43,32.3,10098,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,2021,August,Oceania
